quarter,product,type,geo,end_market,plan_revenue,actual_revenue
2024-Q4,Mass Spec,Service,China,Industrial,751100,678100
2024-Q4,Mass Spec,Service,China,Academic & Government,779400,720800
2024-Q4,Mass Spec,Service,India,Pharma,1002900,991400
2024-Q4,Mass Spec,Service,India,Industrial,417200,369900
2024-Q4,Mass Spec,Service,India,Academic & Government,432900,393200
2024-Q4,Mass Spec,Service,Other,Pharma,2205300,2248100
2024-Q4,Mass Spec,Service,Other,Industrial,917300,838700
2024-Q4,Mass Spec,Service,Other,Academic & Government,951900,891600
2024-Q4,Chemicals,Chemistry,US,Pharma,7138900,6909000
2024-Q4,Chemicals,Chemistry,US,Industrial,3006700,2890800
2024-Q4,Chemicals,Chemistry,US,Academic & Government,3124400,2931900
2024-Q4,Chemicals,Chemistry,China,Pharma,3087500,3392600
2024-Q4,Chemicals,Chemistry,China,Industrial,1300400,1419500
2024-Q4,Chemicals,Chemistry,China,Academic & Government,1351300,1439700
2024-Q4,Chemicals,Chemistry,India,Pharma,1858300,2061100
2024-Q4,Chemicals,Chemistry,India,Industrial,782700,862400
2024-Q4,Chemicals,Chemistry,India,Academic & Government,813300,874600
2024-Q4,Chemicals,Chemistry,Other,Pharma,4054400,4292600
2024-Q4,Chemicals,Chemistry,Other,Industrial,1707600,1796100
2024-Q4,Chemicals,Chemistry,Other,Academic & Government,1774500,1821600
2024-Q4,Informatics,Informatics,US,Pharma,4136900,4255700
2024-Q4,Informatics,Informatics,US,Industrial,1765400,1732700
2024-Q4,Informatics,Informatics,US,Academic & Government,1721000,1801000
2024-Q4,Informatics,Informatics,China,Pharma,1825900,2008700
2024-Q4,Informatics,Informatics,China,Industrial,779200,817800
2024-Q4,Informatics,Informatics,China,Academic & Government,759600,850100
2024-Q4,Informatics,Informatics,India,Pharma,1213000,1148600
2024-Q4,Informatics,Informatics,India,Industrial,517600,467700
2024-Q4,Informatics,Informatics,India,Academic & Government,504600,486100
2024-Q4,Informatics,Informatics,Other,Pharma,2592200,2490600
2024-Q4,Informatics,Informatics,Other,Industrial,1106200,1014100
2024-Q4,Informatics,Informatics,Other,Academic & Government,1078400,1054000
2025-Q1,LC,Instruments,US,Pharma,9706800,10386700
2025-Q1,LC,Instruments,US,Industrial,3768400,3906600
2025-Q1,LC,Instruments,US,Academic & Government,4299300,4092900
2025-Q1,LC,Instruments,China,Pharma,4775000,4673500
2025-Q1,LC,Instruments,China,Industrial,1853800,1757800
2025-Q1,LC,Instruments,China,Academic & Government,2114900,1841600
2025-Q1,LC,Instruments,India,Pharma,2746800,2840500
2025-Q1,LC,Instruments,India,Industrial,1066400,1068400
2025-Q1,LC,Instruments,India,Academic & Government,1216600,1119300
2025-Q1,LC,Instruments,Other,Pharma,6594300,6226900
2025-Q1,LC,Instruments,Other,Industrial,2560100,2342000
2025-Q1,LC,Instruments,Other,Academic & Government,2920700,2453700
2025-Q1,LC,Chemistry,US,Pharma,7404500,7208400
2025-Q1,LC,Chemistry,US,Industrial,3109000,3038700
2025-Q1,LC,Chemistry,US,Academic & Government,3050000,3135300
2025-Q1,LC,Chemistry,China,Pharma,3632800,3373200
2025-Q1,LC,Chemistry,China,Industrial,1525300,1421900
2025-Q1,LC,Chemistry,China,Academic & Government,1496400,1467100
2025-Q1,LC,Chemistry,India,Pharma,2158900,2262900
2025-Q1,LC,Chemistry,India,Industrial,906500,953900
2025-Q1,LC,Chemistry,India,Academic & Government,889300,984300
2025-Q1,LC,Chemistry,Other,Pharma,5003500,4667100
2025-Q1,LC,Chemistry,Other,Industrial,2100800,1967400
2025-Q1,LC,Chemistry,Other,Academic & Government,2061000,2029900
2025-Q1,LC,Service,US,Pharma,4286900,4474400
2025-Q1,LC,Service,US,Industrial,1749200,1792300
2025-Q1,LC,Service,US,Academic & Government,1801200,1856800
2025-Q1,LC,Service,China,Pharma,2068000,2193400
2025-Q1,LC,Service,China,Industrial,843800,878600
2025-Q1,LC,Service,China,Academic & Government,868900,910200
2025-Q1,LC,Service,India,Pharma,1210600,1247400
2025-Q1,LC,Service,India,Industrial,494000,499700
2025-Q1,LC,Service,India,Academic & Government,508700,517600
2025-Q1,LC,Service,Other,Pharma,2821300,2667400
2025-Q1,LC,Service,Other,Industrial,1151100,1068500
2025-Q1,LC,Service,Other,Academic & Government,1185400,1106900
2025-Q1,Mass Spec,Instruments,US,Pharma,8169600,8012700
2025-Q1,Mass Spec,Instruments,US,Industrial,3048300,3193100
2025-Q1,Mass Spec,Instruments,US,Academic & Government,3130900,3341400
2025-Q1,Mass Spec,Instruments,China,Pharma,4014800,3594500
2025-Q1,Mass Spec,Instruments,China,Industrial,1498000,1432400
2025-Q1,Mass Spec,Instruments,China,Academic & Government,1538600,1499000
2025-Q1,Mass Spec,Instruments,India,Pharma,2402800,2284300
2025-Q1,Mass Spec,Instruments,India,Industrial,896600,910300
2025-Q1,Mass Spec,Instruments,India,Academic & Government,920800,952600
2025-Q1,Mass Spec,Instruments,Other,Pharma,5484900,4978000
2025-Q1,Mass Spec,Instruments,Other,Industrial,2046600,1983800
2025-Q1,Mass Spec,Instruments,Other,Academic & Government,2102000,2075900
2025-Q1,Mass Spec,Chemistry,US,Pharma,4752400,4649700
2025-Q1,Mass Spec,Chemistry,US,Industrial,1893800,2001600
2025-Q1,Mass Spec,Chemistry,US,Academic & Government,1917200,1981800
2025-Q1,Mass Spec,Chemistry,China,Pharma,2247500,2030800
2025-Q1,Mass Spec,Chemistry,China,Industrial,895600,874200
2025-Q1,Mass Spec,Chemistry,China,Academic & Government,906700,865600
2025-Q1,Mass Spec,Chemistry,India,Pharma,1292400,1307100
2025-Q1,Mass Spec,Chemistry,India,Industrial,515000,562700
2025-Q1,Mass Spec,Chemistry,India,Academic & Government,521400,557100
2025-Q1,Mass Spec,Chemistry,Other,Pharma,2858600,2915100
2025-Q1,Mass Spec,Chemistry,Other,Industrial,1139200,1254900
2025-Q1,Mass Spec,Chemistry,Other,Academic & Government,1153200,1242500
2025-Q1,Mass Spec,Service,US,Pharma,3775900,3827200
2025-Q1,Mass Spec,Service,US,Industrial,1493400,1558000
2025-Q1,Mass Spec,Service,US,Academic & Government,1441900,1569200
2025-Q1,Mass Spec,Service,China,Pharma,1680500,1704300
2025-Q1,Mass Spec,Service,China,Industrial,664600,693800
2025-Q1,Mass Spec,Service,China,Academic & Government,641700,698800
2025-Q1,Mass Spec,Service,India,Pharma,1009000,1017100
2025-Q1,Mass Spec,Service,India,Industrial,399000,414100
2025-Q1,Mass Spec,Service,India,Academic & Government,385300,417000
2025-Q1,Mass Spec,Service,Other,Pharma,2330900,2210400
2025-Q1,Mass Spec,Service,Other,Industrial,921800,899900
2025-Q1,Mass Spec,Service,Other,Academic & Government,890100,906300
2025-Q1,Chemicals,Chemistry,US,Pharma,7007000,6813700
2025-Q1,Chemicals,Chemistry,US,Industrial,2603700,2707900
2025-Q1,Chemicals,Chemistry,US,Academic & Government,2735800,2952300
2025-Q1,Chemicals,Chemistry,China,Pharma,3287700,3402600
2025-Q1,Chemicals,Chemistry,China,Industrial,1221700,1352300
2025-Q1,Chemicals,Chemistry,China,Academic & Government,1283700,1474300
2025-Q1,Chemicals,Chemistry,India,Pharma,2213100,1925200
2025-Q1,Chemicals,Chemistry,India,Industrial,822400,765100
2025-Q1,Chemicals,Chemistry,India,Academic & Government,864100,834100
2025-Q1,Chemicals,Chemistry,Other,Pharma,4620100,4392100
2025-Q1,Chemicals,Chemistry,Other,Industrial,1716800,1745500
2025-Q1,Chemicals,Chemistry,Other,Academic & Government,1803900,1903000
2025-Q1,Informatics,Informatics,US,Pharma,4117700,4107600
2025-Q1,Informatics,Informatics,US,Industrial,1653000,1731200
2025-Q1,Informatics,Informatics,US,Academic & Government,1726400,1753700
2025-Q1,Informatics,Informatics,China,Pharma,2152600,2030600
2025-Q1,Informatics,Informatics,China,Industrial,864100,855800
2025-Q1,Informatics,Informatics,China,Academic & Government,902500,866900
2025-Q1,Informatics,Informatics,India,Pharma,1209400,1150900
2025-Q1,Informatics,Informatics,India,Industrial,485500,485100
2025-Q1,Informatics,Informatics,India,Academic & Government,507100,491400
2025-Q1,Informatics,Informatics,Other,Pharma,2653700,2643800
2025-Q1,Informatics,Informatics,Other,Industrial,1065300,1114300
2025-Q1,Informatics,Informatics,Other,Academic & Government,1112600,1128700
2025-Q2,LC,Instruments,US,Pharma,9887000,9793400
2025-Q2,LC,Instruments,US,Industrial,3968700,3942700
2025-Q2,LC,Instruments,US,Academic & Government,4402500,4219300
2025-Q2,LC,Instruments,China,Pharma,4615300,4790800
2025-Q2,LC,Instruments,China,Industrial,1852600,1928700
2025-Q2,LC,Instruments,China,Academic & Government,2055100,2064000
2025-Q2,LC,Instruments,India,Pharma,2693100,2648200
2025-Q2,LC,Instruments,India,Industrial,1081000,1066200
2025-Q2,LC,Instruments,India,Academic & Government,1199200,1140900
2025-Q2,LC,Instruments,Other,Pharma,5972600,6066100
2025-Q2,LC,Instruments,Other,Industrial,2397400,2442200
2025-Q2,LC,Instruments,Other,Academic & Government,2659500,2613500
2025-Q2,LC,Chemistry,US,Pharma,8070300,8619400
2025-Q2,LC,Chemistry,US,Industrial,3139000,3179600
2025-Q2,LC,Chemistry,US,Academic & Government,3349900,3447300
2025-Q2,LC,Chemistry,China,Pharma,3921600,3988800
2025-Q2,LC,Chemistry,China,Industrial,1525300,1471400
2025-Q2,LC,Chemistry,China,Academic & Government,1627800,1595300
2025-Q2,LC,Chemistry,India,Pharma,2323200,2416600
2025-Q2,LC,Chemistry,India,Industrial,903600,891500
2025-Q2,LC,Chemistry,India,Academic & Government,964300,966500
2025-Q2,LC,Chemistry,Other,Pharma,5037500,5201500
2025-Q2,LC,Chemistry,Other,Industrial,1959400,1918800
2025-Q2,LC,Chemistry,Other,Academic & Government,2091000,2080300
2025-Q2,LC,Service,US,Pharma,4679000,4526200
2025-Q2,LC,Service,US,Industrial,1896200,1798700
2025-Q2,LC,Service,US,Academic & Government,1813700,1765900
2025-Q2,LC,Service,China,Pharma,2047500,2201200
2025-Q2,LC,Service,China,Industrial,829800,874700
2025-Q2,LC,Service,China,Academic & Government,793700,858800
2025-Q2,LC,Service,India,Pharma,1226100,1293300
2025-Q2,LC,Service,India,Industrial,496900,513900
2025-Q2,LC,Service,India,Academic & Government,475300,504600
2025-Q2,LC,Service,Other,Pharma,2763600,3013500
2025-Q2,LC,Service,Other,Industrial,1120000,1197500
2025-Q2,LC,Service,Other,Academic & Government,1071300,1175700
2025-Q2,Mass Spec,Instruments,US,Pharma,8024800,8225000
2025-Q2,Mass Spec,Instruments,US,Industrial,3259000,3513900
2025-Q2,Mass Spec,Instruments,US,Academic & Government,3575800,3623900
2025-Q2,Mass Spec,Instruments,China,Pharma,3862700,4048900
2025-Q2,Mass Spec,Instruments,China,Industrial,1568700,1729800
2025-Q2,Mass Spec,Instruments,China,Academic & Government,1721200,1784000
2025-Q2,Mass Spec,Instruments,India,Pharma,2457600,2454100
2025-Q2,Mass Spec,Instruments,India,Industrial,998100,1048500
2025-Q2,Mass Spec,Instruments,India,Academic & Government,1095100,1081300
2025-Q2,Mass Spec,Instruments,Other,Pharma,5229800,5204800
2025-Q2,Mass Spec,Instruments,Other,Industrial,2123900,2223600
2025-Q2,Mass Spec,Instruments,Other,Academic & Government,2330400,2293200
2025-Q2,Mass Spec,Chemistry,US,Pharma,4666600,4718000
2025-Q2,Mass Spec,Chemistry,US,Industrial,1814600,1854400
2025-Q2,Mass Spec,Chemistry,US,Academic & Government,2075200,2010000
2025-Q2,Mass Spec,Chemistry,China,Pharma,2301800,2196600
2025-Q2,Mass Spec,Chemistry,China,Industrial,895000,863300
2025-Q2,Mass Spec,Chemistry,China,Academic & Government,1023600,935800
2025-Q2,Mass Spec,Chemistry,India,Pharma,1362800,1346000
2025-Q2,Mass Spec,Chemistry,India,Industrial,529900,529000
2025-Q2,Mass Spec,Chemistry,India,Academic & Government,606000,573400
2025-Q2,Mass Spec,Chemistry,Other,Pharma,2794300,2629100
2025-Q2,Mass Spec,Chemistry,Other,Industrial,1086500,1033400
2025-Q2,Mass Spec,Chemistry,Other,Academic & Government,1242600,1120000
2025-Q2,Mass Spec,Service,US,Pharma,3696700,3742800
2025-Q2,Mass Spec,Service,US,Industrial,1433100,1445200
2025-Q2,Mass Spec,Service,US,Academic & Government,1434200,1540800
2025-Q2,Mass Spec,Service,China,Pharma,1646300,1809800
2025-Q2,Mass Spec,Service,China,Industrial,638200,698800
2025-Q2,Mass Spec,Service,China,Academic & Government,638700,745000
2025-Q2,Mass Spec,Service,India,Pharma,974500,1008100
2025-Q2,Mass Spec,Service,India,Industrial,377800,389300
2025-Q2,Mass Spec,Service,India,Academic & Government,378100,415000
2025-Q2,Mass Spec,Service,Other,Pharma,2314900,2175500
2025-Q2,Mass Spec,Service,Other,Industrial,897400,840000
2025-Q2,Mass Spec,Service,Other,Academic & Government,898100,895600
2025-Q2,Chemicals,Chemistry,US,Pharma,6908000,7237100
2025-Q2,Chemicals,Chemistry,US,Industrial,2667800,2854600
2025-Q2,Chemicals,Chemistry,US,Academic & Government,2744500,3041700
2025-Q2,Chemicals,Chemistry,China,Pharma,3621000,3599700
2025-Q2,Chemicals,Chemistry,China,Industrial,1398400,1419900
2025-Q2,Chemicals,Chemistry,China,Academic & Government,1438600,1512900
2025-Q2,Chemicals,Chemistry,India,Pharma,2070400,1997400
2025-Q2,Chemicals,Chemistry,India,Industrial,799600,787900
2025-Q2,Chemicals,Chemistry,India,Academic & Government,822600,839500
2025-Q2,Chemicals,Chemistry,Other,Pharma,4423900,4253700
2025-Q2,Chemicals,Chemistry,Other,Industrial,1708500,1677800
2025-Q2,Chemicals,Chemistry,Other,Academic & Government,1757600,1787800
2025-Q2,Informatics,Informatics,US,Pharma,4602200,4396800
2025-Q2,Informatics,Informatics,US,Industrial,1801800,1856100
2025-Q2,Informatics,Informatics,US,Academic & Government,1802400,1757100
2025-Q2,Informatics,Informatics,China,Pharma,2071800,2009500
2025-Q2,Informatics,Informatics,China,Industrial,811100,848300
2025-Q2,Informatics,Informatics,China,Academic & Government,811400,803100
2025-Q2,Informatics,Informatics,India,Pharma,1275200,1241400
2025-Q2,Informatics,Informatics,India,Industrial,499300,524000
2025-Q2,Informatics,Informatics,India,Academic & Government,499400,496100
2025-Q2,Informatics,Informatics,Other,Pharma,2656200,2611500
2025-Q2,Informatics,Informatics,Other,Industrial,1039900,1102400
2025-Q2,Informatics,Informatics,Other,Academic & Government,1040300,1043600
2025-Q3,LC,Instruments,US,Pharma,10152800,10068800
2025-Q3,LC,Instruments,US,Industrial,4033000,3997600
2025-Q3,LC,Instruments,US,Academic & Government,4065200,4533700
2025-Q3,LC,Instruments,China,Pharma,4901500,5081800
2025-Q3,LC,Instruments,China,Industrial,1947000,2017600
2025-Q3,LC,Instruments,China,Academic & Government,1962500,2288200
2025-Q3,LC,Instruments,India,Pharma,3004700,3004900
2025-Q3,LC,Instruments,India,Industrial,1193500,1193000
2025-Q3,LC,Instruments,India,Academic & Government,1203100,1353000
2025-Q3,LC,Instruments,Other,Pharma,6735400,6456600
2025-Q3,LC,Instruments,Other,Industrial,2675500,2563500
2025-Q3,LC,Instruments,Other,Academic & Government,2696800,2907200
2025-Q3,LC,Chemistry,US,Pharma,7653000,7624200
2025-Q3,LC,Chemistry,US,Industrial,2949700,3312800
2025-Q3,LC,Chemistry,US,Academic & Government,3195100,3467600
2025-Q3,LC,Chemistry,China,Pharma,3608400,3464600
2025-Q3,LC,Chemistry,China,Industrial,1390800,1505400
2025-Q3,LC,Chemistry,China,Academic & Government,1506500,1575800
2025-Q3,LC,Chemistry,India,Pharma,2372000,2068600
2025-Q3,LC,Chemistry,India,Industrial,914200,898800
2025-Q3,LC,Chemistry,India,Academic & Government,990300,940800
2025-Q3,LC,Chemistry,Other,Pharma,5156600,4510200
2025-Q3,LC,Chemistry,Other,Industrial,1987500,1959700
2025-Q3,LC,Chemistry,Other,Academic & Government,2152900,2051300
2025-Q3,LC,Service,US,Pharma,4378200,4358800
2025-Q3,LC,Service,US,Industrial,1817500,1706000
2025-Q3,LC,Service,US,Academic & Government,1786200,1853200
2025-Q3,LC,Service,China,Pharma,2271000,2176400
2025-Q3,LC,Service,China,Industrial,942800,851800
2025-Q3,LC,Service,China,Academic & Government,926500,925400
2025-Q3,LC,Service,India,Pharma,1261000,1320600
2025-Q3,LC,Service,India,Industrial,523500,516900
2025-Q3,LC,Service,India,Academic & Government,514500,561500
2025-Q3,LC,Service,Other,Pharma,2748000,2871100
2025-Q3,LC,Service,Other,Industrial,1140700,1123700
2025-Q3,LC,Service,Other,Academic & Government,1121100,1220700
2025-Q3,Mass Spec,Instruments,US,Pharma,8613100,8460700
2025-Q3,Mass Spec,Instruments,US,Industrial,3118900,3145000
2025-Q3,Mass Spec,Instruments,US,Academic & Government,3495400,3618300
2025-Q3,Mass Spec,Instruments,China,Pharma,4074000,4105800
2025-Q3,Mass Spec,Instruments,China,Industrial,1475200,1526200
2025-Q3,Mass Spec,Instruments,China,Academic & Government,1653300,1755900
2025-Q3,Mass Spec,Instruments,India,Pharma,2509100,2325000
2025-Q3,Mass Spec,Instruments,India,Industrial,908600,864200
2025-Q3,Mass Spec,Instruments,India,Academic & Government,1018300,994300
2025-Q3,Mass Spec,Instruments,Other,Pharma,5377500,4998800
2025-Q3,Mass Spec,Instruments,Other,Industrial,1947300,1858100
2025-Q3,Mass Spec,Instruments,Other,Academic & Government,2182300,2137800
2025-Q3,Mass Spec,Chemistry,US,Pharma,4767400,4807100
2025-Q3,Mass Spec,Chemistry,US,Industrial,1853600,1925200
2025-Q3,Mass Spec,Chemistry,US,Academic & Government,2008900,1903300
2025-Q3,Mass Spec,Chemistry,China,Pharma,2298800,2283800
2025-Q3,Mass Spec,Chemistry,China,Industrial,893800,914600
2025-Q3,Mass Spec,Chemistry,China,Academic & Government,968700,904200
2025-Q3,Mass Spec,Chemistry,India,Pharma,1391900,1424600
2025-Q3,Mass Spec,Chemistry,India,Industrial,541200,570500
2025-Q3,Mass Spec,Chemistry,India,Academic & Government,586500,564100
2025-Q3,Mass Spec,Chemistry,Other,Pharma,2781000,3075900
2025-Q3,Mass Spec,Chemistry,Other,Industrial,1081300,1231800
2025-Q3,Mass Spec,Chemistry,Other,Academic & Government,1171900,1217900
2025-Q3,Mass Spec,Service,US,Pharma,3669500,3672000
2025-Q3,Mass Spec,Service,US,Industrial,1382100,1426800
2025-Q3,Mass Spec,Service,US,Academic & Government,1591400,1497400
2025-Q3,Mass Spec,Service,China,Pharma,1797300,1763000
2025-Q3,Mass Spec,Service,China,Industrial,676900,685000
2025-Q3,Mass Spec,Service,China,Academic & Government,779500,719000
2025-Q3,Mass Spec,Service,India,Pharma,1044700,1057600
2025-Q3,Mass Spec,Service,India,Industrial,393500,411000
2025-Q3,Mass Spec,Service,India,Academic & Government,453100,431300
2025-Q3,Mass Spec,Service,Other,Pharma,2472000,2306200
2025-Q3,Mass Spec,Service,Other,Industrial,931100,896100
2025-Q3,Mass Spec,Service,Other,Academic & Government,1072000,940500
2025-Q3,Chemicals,Chemistry,US,Pharma,7335000,6901200
2025-Q3,Chemicals,Chemistry,US,Industrial,2894800,2787500
2025-Q3,Chemicals,Chemistry,US,Academic & Government,3061900,2863400
2025-Q3,Chemicals,Chemistry,China,Pharma,3295400,3085100
2025-Q3,Chemicals,Chemistry,China,Industrial,1300500,1246100
2025-Q3,Chemicals,Chemistry,China,Academic & Government,1375600,1280000
2025-Q3,Chemicals,Chemistry,India,Pharma,1933800,1974200
2025-Q3,Chemicals,Chemistry,India,Industrial,763200,797400
2025-Q3,Chemicals,Chemistry,India,Academic & Government,807200,819100
2025-Q3,Chemicals,Chemistry,Other,Pharma,4291100,4395100
2025-Q3,Chemicals,Chemistry,Other,Industrial,1693500,1775200
2025-Q3,Chemicals,Chemistry,Other,Academic & Government,1791200,1823600
2025-Q3,Informatics,Informatics,US,Pharma,4401200,4448900
2025-Q3,Informatics,Informatics,US,Industrial,1764700,1829000
2025-Q3,Informatics,Informatics,US,Academic & Government,1841300,1900200
2025-Q3,Informatics,Informatics,China,Pharma,2123800,1978500
2025-Q3,Informatics,Informatics,China,Industrial,851500,813400
2025-Q3,Informatics,Informatics,China,Academic & Government,888500,845100
2025-Q3,Informatics,Informatics,India,Pharma,1351400,1194400
2025-Q3,Informatics,Informatics,India,Industrial,541800,491000
2025-Q3,Informatics,Informatics,India,Academic & Government,565400,510200
2025-Q3,Informatics,Informatics,Other,Pharma,2778200,2656000
2025-Q3,Informatics,Informatics,Other,Industrial,1113900,1091900
2025-Q3,Informatics,Informatics,Other,Academic & Government,1162300,1134500
2025-Q4,LC,Instruments,US,Pharma,10400500,10437300
2025-Q4,LC,Instruments,US,Industrial,4540800,3956800
2025-Q4,LC,Instruments,US,Academic & Government,4349800,4334900
2025-Q4,LC,Instruments,China,Pharma,4929100,5055300
2025-Q4,LC,Instruments,China,Industrial,2152000,1916400
2025-Q4,LC,Instruments,China,Academic & Government,2061500,2099600
2025-Q4,LC,Instruments,India,Pharma,2647600,2854400
2025-Q4,LC,Instruments,India,Industrial,1155900,1082100
2025-Q4,LC,Instruments,India,Academic & Government,1107300,1185500
2025-Q4,LC,Instruments,Other,Pharma,6059100,6049600
2025-Q4,LC,Instruments,Other,Industrial,2645300,2293400
2025-Q4,LC,Instruments,Other,Academic & Government,2534100,2512600
2025-Q4,LC,Chemistry,US,Pharma,7390100,8281900
2025-Q4,LC,Chemistry,US,Industrial,2948100,3253200
2025-Q4,LC,Chemistry,US,Academic & Government,3274000,3333700
2025-Q4,LC,Chemistry,China,Pharma,3822900,3725700
2025-Q4,LC,Chemistry,China,Industrial,1525000,1463500
2025-Q4,LC,Chemistry,China,Academic & Government,1693600,1499700
2025-Q4,LC,Chemistry,India,Pharma,2211200,2420100
2025-Q4,LC,Chemistry,India,Industrial,882100,950700
2025-Q4,LC,Chemistry,India,Academic & Government,979600,974200
2025-Q4,LC,Chemistry,Other,Pharma,5008000,4996400
2025-Q4,LC,Chemistry,Other,Industrial,1997800,1962700
2025-Q4,LC,Chemistry,Other,Academic & Government,2218700,2011200
2025-Q4,LC,Service,US,Pharma,4732200,4641100
2025-Q4,LC,Service,US,Industrial,1760300,1993200
2025-Q4,LC,Service,US,Academic & Government,1859000,1987100
2025-Q4,LC,Service,China,Pharma,2398400,2026800
2025-Q4,LC,Service,China,Industrial,892200,870400
2025-Q4,LC,Service,China,Academic & Government,942200,867800
2025-Q4,LC,Service,India,Pharma,1299900,1339400
2025-Q4,LC,Service,India,Industrial,483500,575200
2025-Q4,LC,Service,India,Academic & Government,510700,573500
2025-Q4,LC,Service,Other,Pharma,3085700,2831300
2025-Q4,LC,Service,Other,Industrial,1147800,1215900
2025-Q4,LC,Service,Other,Academic & Government,1212200,1212200
2025-Q4,Mass Spec,Instruments,US,Pharma,7914300,8311700
2025-Q4,Mass Spec,Instruments,US,Industrial,3390500,3255000
2025-Q4,Mass Spec,Instruments,US,Academic & Government,3515700,3516600
2025-Q4,Mass Spec,Instruments,China,Pharma,4116800,3966000
2025-Q4,Mass Spec,Instruments,China,Industrial,1763700,1553200
2025-Q4,Mass Spec,Instruments,China,Academic & Government,1828800,1678000
2025-Q4,Mass Spec,Instruments,India,Pharma,2313600,2451600
2025-Q4,Mass Spec,Instruments,India,Industrial,991200,960100
2025-Q4,Mass Spec,Instruments,India,Academic & Government,1027800,1037300
2025-Q4,Mass Spec,Instruments,Other,Pharma,5414200,5107500
2025-Q4,Mass Spec,Instruments,Other,Industrial,2319500,2000200
